V1,V2,V3,V4,V5,V6,all_text.df
8.600 kr/md,Ubegrænset,Lejlighed,Risskov,65 m²,3 værelser,"Lejlighed, Møllehatten, 8240 Risskov, etage: 2. 2.                          Antal værelser: 3  Antal m2: 65  Husleje. 8.600 kr.  Indskud: 25.800 kr.  Post nummer: 8240  By: Risskov                                                                                                                                            Altan/terasse                      Elevator                                                                                                Forudbetalt leje: 8.600                                  Depositum: 25.800                                  A/C-forbrug: 600                              Ledig: 1. maj 2019                                  Indrykket: 27. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1507223"
8.500 kr/md,Ubegrænset,Lejlighed,Risskov,68 m²,2 værelser,"Lejlighed, Møllehatten, 8240 Risskov, etage: 4. 3.                          Antal værelser: 2  Antal m2: 68  Husleje. 8.500 kr.  Indskud: 25.500 kr.  Post nummer: 8240  By: Risskov                                                                                                                                            Altan/terasse                      Elevator                                                                                                Forudbetalt leje: 8.500                                  Depositum: 25.500                                  A/C-forbrug: 600                              Ledig: 15. april 2019                                  Indrykket: 27. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1507221"
9.495 kr/md,Ubegrænset,Hus/villa,Harlev J,110 m²,5 værelser,"Hus/villa, Rødlundvej, 8462 Harlev J.                          Rødlundvej ligger i Harlev J. Harlev har omkring 3.688 indbyggere. Byen hører til Aarhus Kommune. Harlev byder på indkøbsmuligheder til de nødvendige ting i dagligdagen. Hvis man skal handle stort ind ligger Aarhus ca. 17 km derfra. I Harlev findes folkeskolen Næshøjskolen, børnehave, vuggestue, bibliotek, sportshal og offentlig transport. Boligerne er desuden tæt beliggende på motorvej E45. Rækkehuse til familen, der gerne vil bo i dejlige grønne omgivelser, nær mark og skov og i tilpas afstand til Aarhus. Her er gode muligheder for lange gåture i naturen og gode muligheder for leg til børnene. Det er tilladt at holde 2 stk hunde under 20 kg, ingen katte. Energimærke B. Lejemålet ligger på Rødlundvej i Harlev. De 93 boliger i Harlev er opført som rækkehuse. Dette 4 værelses lejemål er indrettet med entré, hvorfra der er adgang til badeværelse samt stue i åben forbindelse med køkken. Derudover et værelse med adgang fra entréne. I entrén er der trappe op til 1. sal med soveværelse, 2 værelser samt toilet og loftrum. I værelserne er der indbyggede skabe. Der er anlagt gulvvarme i entré og badeværelse. ÅBENT HUS: Lørdag den 2. marts kl. 10.00-10.30 Lørdag den 2. marts kl. 10.00-10.30 Onsdag den 6. marts kl. 16.30-17.00 Onsdag den 6. marts kl. 16.30-17.00                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: 28.485                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. maj 2019                                  Indrykket: 27. februar 2019                              Husdyr tilladt                               Sagsnummer: 1247682"
8.885 kr/md,Ubegrænset,Hus/villa,Silkeborg,108 m²,5 værelser,"Hus/villa, Landskronavej, 8600 Silkeborg.                          Landskronavej ligger i Gødvad, som hører til Silkeborg Kommune. Gødvad byder på indkøbsmuligheder til de nødvendige ting i dagligdagen. Hvis man skal handle stort ind ligger Silkeborg forholdsvis tæt på med en lang række butikker i Silkeborg centrum samt diverse indkøbsmuligheder, såsom Kwik Spar, Rema 1000 og Super Spar. I Gødvad findes desuden sportshal, skole og offentlig transport. Boligerne er beliggende i rolige omgivelser.  Silkeborg er særlig kendt for sin smukke natur, med Gudenåen og Danmarks største sammenhængende skovområde. I Silkeborg finder du kunst og kultur, samt shopping i små hyggelige gågader. Byggeriet er fordelt på forskellige boligtyper. Til alle boligerne hører egen have med træterrasse, samt et redskabsskur til opbevaring af fx havemøbler. Der er mulighed for at installere vaske- og opvaskemaskine i samtlige af boligerne. Energimærke B.     Lejemålet ligger på Landskronavej, i et boligområde med i alt 45 boliger, opført som rækkehuse. Dette 5 værelses lejemål er indrettet med entré og bryggers, hvorfra der er adgang til badeværelse. Fra stuen er der adgang til åbent køkken og et værelse. Der er gulvvarme på badeværelset. Fra entrén er der trappe op til 1. sal, hvor der er soveværelse med klædeskab samt værelse, depot og toilet.                                                                                                                                                                                      Forudbetalt leje: 8.885                                  Depositum: 26.655                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. maj 2019                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1247660"
9.055 kr/md,Ubegrænset,Hus/villa,Harlev J,90 m²,4 værelser,"Hus/villa, Rødlundvej, 8462 Harlev J.                          Rødlundvej ligger i Harlev J. Harlev har omkring 3.688 indbyggere. Byen hører til Aarhus Kommune. Harlev byder på indkøbsmuligheder til de nødvendige ting i dagligdagen. Hvis man skal handle stort ind ligger Aarhus ca. 17 km derfra. I Harlev findes folkeskolen Næshøjskolen, børnehave, vuggestue, bibliotek, sportshal og offentlig transport. Boligerne er desuden tæt beliggende på motorvej E45. Rækkehuse til familen, der gerne vil bo i dejlige grønne omgivelser, nær mark og skov og i tilpas afstand til Aarhus. Her er gode muligheder for lange gåture i naturen og gode muligheder for leg til børnene. Det er tilladt at holde 2 stk hunde under 20 kg, ingen katte. Energimærke B. Lejemålet ligger på Rødlundvej i Harlev. De 93 boliger i Harlev er opført som rækkehuse. Dette 4 værelses lejemål er indrettet med entré, hvorfra der er adgang til badeværelse samt stue i åben forbindelse med køkken. I entrén er der trappe op til 1. sal med soveværelse, 2 værelser samt toilet og loftrum. I værelserne er der indbyggede skabe. Der er anlagt gulvvarme i entré og badeværelse. ÅBENT HUS: Lørdag den 2. marts kl. 10.00-10.30 Lørdag den 2. marts kl. 10.00-10.30 Onsdag den 6. marts kl. 16.30-17.00 Onsdag den 6. marts kl. 16.30-17.00                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: 27.165                                  A/C-forbrug: Kontakt udlejer                              Ledig: 20. juli 2019                                  Indrykket: 27. februar 2019                              Husdyr tilladt                               Sagsnummer: 1247545"
10.245 kr/md,Ubegrænset,Hus/villa,Viby J,100 m²,4 værelser,"Hus/villa, Bøgeskovparken, 8260 Viby J.                          Dejlige  rækkehuse i 2 plan med parketgulve og klinker på badeværelse samt i bryggers. Til hver bolig hører egen have og 2 flisebelagte terrasser samt redskabsrum. Der er gode indkøbsmuligheder idet Super Best ligger omkring 500 meter fra Bøgeskovparken og Vibycenteret ca 3 km derfra. Der ligger ligeledes Højvangskolen samt Viby hallen i nærheden, hvilket gør boligerne perfekte til børnefamilier. Derudover er der gode forbindelser til Århus. El og vand opkræves direkte fra forsyningsværkerne, der opkræves a conto kr. 1000 for varme pr. måned Det er tilladt at holde 2 stk. husdyr på max 20 kg, ingen muskel eller kamphunde, farlige dyr eller krybdyr. Energimærke A2 Rummeligt 4 værelses rækkehus i 2 plan. Lejemålet er beliggende i Viby J, i den sydvestlige del af Aarhus. De 22 boliger er opført som dobbelthuse. Dette rækkehus er indrettet med lille entre med indbyggede skabe, og adgang til køkken med alle hårde hvidevarer. Fra køkkenet er der opgang til 1 sal med 3 gode værelser og badeværelse med vaskemaskine. Der er fra stuen udgang til terrasse og en lille have. Der er klinker med gulvvarme på badeværelset og gulvvarme i hele stueetagen. Der er egen parkeringsplads samt redskabsskur til lejemålet. ÅBENT HUS: Lørdag den 2. marts kl. 13.45-14.15                                                                                                                                            Delevenlig                                                                                                                        Forudbetalt leje: 10.245                                  Depositum: 30.735                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 27. februar 2019                              Husdyr tilladt                               Sagsnummer: 1247432"
4.300 kr/md,Ubegrænset,Lejlighed,Randers C,65 m²,2 værelser,"Lejlighed, Fabersvej, 8900 Randers C.                          Antal værelser: 2  Antal m2: 65  Husleje. 4.300 kr.  Post nummer: 8900  By: Randers C                                                                                                                                                                                      Forudbetalt leje: 12.900                                  Depositum: 8.600                                  A/C-forbrug: 1.100                              Ledig: Straks                                  Indrykket: 27. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1507470"
2.950 kr/md,Ubegrænset,Lejlighed,Aarhus N,12 m²,1 værelser,"Lejlighed, Skovvangsvej, 8200 Aarhus N, etage: 5., værl. 3.                          Antal værelser: 1  Antal m2: 12  Husleje. 2.950 kr.  Indskud: 0  Post nummer: 8200  By: Aarhus N  Henvendelser angående ledige lejemål, kan ske pr. besked med følgende oplysninger:  Antal personer  Navn og telefonnummer  Beskæftigelse  Ønsket overtagelse  Prisniveau                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 200                              Ledig: Straks                                  Indrykket: 28. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1500700"
2.950 kr/md,Ubegrænset,Lejlighed,Aarhus N,12 m²,1 værelser,"Lejlighed, Skovvangsvej, 8200 Aarhus N, etage: 5., værl. 2.                          Antal værelser: 1  Antal m2: 12  Husleje. 2.950 kr.  Indskud: 0  Post nummer: 8200  By: Aarhus N  Henvendelser angående ledige lejemål, kan ske pr. besked med følgende oplysninger:  Antal personer  Navn og telefonnummer  Beskæftigelse  Ønsket overtagelse  Prisniveau                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 200                              Ledig: Straks                                  Indrykket: 28. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1500699"
3.300 kr/md,Ubegrænset,Lejlighed,Aarhus V,22 m²,1 værelser,"Lejlighed, Hammershusvej, 8210 Aarhus V, etage: værl. 3.                          Antal værelser: 1  Antal m2: 22  Husleje. 3.300 kr.  Indskud: 0  Post nummer: 8210  By: Aarhus V  Henvendelser angående ledige lejemål, kan ske pr. besked med følgende oplysninger:  Antal personer  Navn og telefonnummer  Beskæftigelse  Ønsket overtagelse  Prisniveau                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 350                              Ledig: 1. april 2019                                  Indrykket: 28. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1500698"
