"X","rent","avail","type","loc","sqm","rooms","street","description"
"1",7500,"Over 1 year","Collective","Aarhus C",90,3,"Langelandsgade","Delebolig, Langelandsgade, 8000 Aarhus C, etage: 4. tv.                          Jeg delvis fremlejer min lejlighed (2 af 3 varelser), da jeg skal arbejde i Kobenhavn det kommende ar, og derfor ikke vil vare sarlig tit i Arhus (max 1-2 gange om maneden). Lejligheden er ikke mobleret.   Lejeperioden er i forste omgang frem til 1. august 2019."
"2",7500,"Over 1 year","Collective","Aarhus C",90,3,"Langelandsgade","Delebolig, Langelandsgade, 8000 Aarhus C, etage: 4. tv.                          Jeg delvis fremlejer min lejlighed (2 af 3 varelser), da jeg skal arbejde i Kobenhavn det kommende ar, og derfor ikke vil vare sarlig tit i Arhus (max 1-2 gange om maneden). Lejligheden er ikke mobleret.   Lejeperioden er i forste omgang frem til 1. august 2019."
"3",10000,"Indefinite","Apartment","Skanderborg",108,4,"Kongefolden","Lejlighed, Kongefolden, 8660 Skanderborg.                          I Skanderborg Bakker er du og din familie tat pa alt og i <e9>t med naturen. Fra omradet er der den smukkeste udsigt over soen, byens tage og bogeskov. Livet i centrum, shopping- og kulturelle tilbud er indenfor gaafstand - og sa er der ikke langt til hverken toget eller E45. Central beliggenhed uanset i hvilken retning din verden gar.  Sarligt ved det nye byggeri er, at du er garanteret udsigt, da der ikke bliver bebygget pa gronningen, der lober fra Highlander og ned igennem omradet med en smuk bla horisont og et kuperet landskab med soen i baggrunden. Lejlighederne er alle velindrettede, med gode lysindfald og kendetegnet ved et materialevalg af hoj kvalitet. Lejlighederne overtages fx med Siemens harde hvidevarer, ligesom der folger <e9>n parkeringsplads pr. lejlighed og <e9>t depotrum i kalderen. Elevator i ejendommen er kun et ekstra plus."
"4",10000,"Indefinite","Apartment","Skanderborg",108,4,"Kongefolden","Lejlighed, Kongefolden, 8660 Skanderborg.                          I Skanderborg Bakker er du og din familie tat pa alt og i <e9>t med naturen. Fra omradet er der den smukkeste udsigt over soen, byens tage og bogeskov. Livet i centrum, shopping- og kulturelle tilbud er indenfor gaafstand - og sa er der ikke langt til hverken toget eller E45. Central beliggenhed uanset i hvilken retning din verden gar.  Sarligt ved det nye byggeri er, at du er garanteret udsigt, da der ikke bliver bebygget pa gronningen, der lober fra Highlander og ned igennem omradet med en smuk bla horisont og et kuperet landskab med soen i baggrunden. Lejlighederne er alle velindrettede, med gode lysindfald og kendetegnet ved et materialevalg af hoj kvalitet. Lejlighederne overtages fx med Siemens harde hvidevarer, ligesom der folger <e9>n parkeringsplads pr. lejlighed og <e9>t depotrum i kalderen. Elevator i ejendommen er kun et ekstra plus."
"5",7900,"Indefinite","Apartment","Skanderborg",79,2,"Kongefolden","Lejlighed, Kongefolden, 8660 Skanderborg.                          I Skanderborg Bakker er du og din familie tat pa alt og i <e9>t med naturen. Fra omradet er der den smukkeste udsigt over soen, byens tage og bogeskov. Livet i centrum, shopping- og kulturelle tilbud er indenfor gaafstand - og sa er der ikke langt til hverken toget eller E45. Central beliggenhed uanset i hvilken retning din verden gar.  Sarligt ved det nye byggeri er, at du er garanteret udsigt, da der ikke bliver bebygget pa gronningen, der lober fra Highlander og ned igennem omradet med en smuk bla horisont og et kuperet landskab med soen i baggrunden. Lejlighederne er alle velindrettede, med gode lysindfald og kendetegnet ved et materialevalg af hoj kvalitet. Lejlighederne overtages fx med Siemens harde hvidevarer, ligesom der folger <e9>n parkeringsplads pr. lejlighed og <e9>t depotrum i kalderen. Elevator i ejendommen er kun et ekstra plus."
"6",7900,"Indefinite","Apartment","Skanderborg",79,2,"Kongefolden","Lejlighed, Kongefolden, 8660 Skanderborg.                          I Skanderborg Bakker er du og din familie tat pa alt og i <e9>t med naturen. Fra omradet er der den smukkeste udsigt over soen, byens tage og bogeskov. Livet i centrum, shopping- og kulturelle tilbud er indenfor gaafstand - og sa er der ikke langt til hverken toget eller E45. Central beliggenhed uanset i hvilken retning din verden gar.  Sarligt ved det nye byggeri er, at du er garanteret udsigt, da der ikke bliver bebygget pa gronningen, der lober fra Highlander og ned igennem omradet med en smuk bla horisont og et kuperet landskab med soen i baggrunden. Lejlighederne er alle velindrettede, med gode lysindfald og kendetegnet ved et materialevalg af hoj kvalitet. Lejlighederne overtages fx med Siemens harde hvidevarer, ligesom der folger <e9>n parkeringsplads pr. lejlighed og <e9>t depotrum i kalderen. Elevator i ejendommen er kun et ekstra plus."
"7",8995,"Indefinite","Apartment","Aarhus C",81,3,"Vesterbrogade","Lejlighed, Vesterbrogade, 8000 Aarhus C, etage: 1.                          Beliggenheden pa Vesterbrogade er sa centralt i Aarhus, som det kan lade sig gore. Lige rundt om hjornet ligger Botanisk Have, Den Gamle By og den nye bydel Ceres Byen. Rundt om det andet hjorne ligger indkobsmulighederne ved Vesterbro Torv og begyndelsen til de charmerende gader i midtbyen. Ejendommen ligger saledes helt centralt i Aarhus med kort afstand til Stroget, det hyggelige Latinerkvarter, Aros samt Aarhus Universitet og andre uddannelsesinstitutioner. Vesterbro er et markant vakstomrade i Aarhus, der omfatter omdannelse af en helt ny bydel pa det gamle Ceres-bryggeri, udvikling af det tidligere Amtshospitalet, kunst- og kulturproduktionscentret Godsbanen, nyrenoverede vaksthuse i den netop fredede Botanisk Have, udvidelse af Den Gamle By med nye 1974- og 2014-bydele samt ny hovedindgang ved Cereskrydset. Lag dertil, at Letbanens anden etape stopper lige udenfor doren."
"8",8995,"Indefinite","Apartment","Aarhus C",81,3,"Vesterbrogade","Lejlighed, Vesterbrogade, 8000 Aarhus C, etage: 1.                          Beliggenheden pa Vesterbrogade er sa centralt i Aarhus, som det kan lade sig gore. Lige rundt om hjornet ligger Botanisk Have, Den Gamle By og den nye bydel Ceres Byen. Rundt om det andet hjorne ligger indkobsmulighederne ved Vesterbro Torv og begyndelsen til de charmerende gader i midtbyen. Ejendommen ligger saledes helt centralt i Aarhus med kort afstand til Stroget, det hyggelige Latinerkvarter, Aros samt Aarhus Universitet og andre uddannelsesinstitutioner. Vesterbro er et markant vakstomrade i Aarhus, der omfatter omdannelse af en helt ny bydel pa det gamle Ceres-bryggeri, udvikling af det tidligere Amtshospitalet, kunst- og kulturproduktionscentret Godsbanen, nyrenoverede vaksthuse i den netop fredede Botanisk Have, udvidelse af Den Gamle By med nye 1974- og 2014-bydele samt ny hovedindgang ved Cereskrydset. Lag dertil, at Letbanens anden etape stopper lige udenfor doren."
"9",11300,"Indefinite","House","Horning",135,4,"Brohaven","Hus/villa, Brohaven, 8362 Horning.                          Boligen er centralt placeret i forhold til togstation, indkobsmuligheder og skole, og man far derfor en beliggenhed, som tilbyder ideelle rammer for familier, bade med og uden born."
"10",11300,"Indefinite","House","Horning",135,4,"Brohaven","Hus/villa, Brohaven, 8362 Horning.                          Boligen er centralt placeret i forhold til togstation, indkobsmuligheder og skole, og man far derfor en beliggenhed, som tilbyder ideelle rammer for familier, bade med og uden born."
